iter	Passed	Remaining
0	171	85718
1	191	47639
2	210	34914
3	230	28615
4	248	24636
5	268	22131
6	289	20405
7	310	19114
8	332	18151
9	351	17223
10	371	16496
11	392	15968
12	414	15530
13	435	15118
14	454	14687
15	472	14294
16	491	13968
17	511	13688
18	531	13452
19	552	13251
20	571	13042
21	590	12821
22	608	12626
23	631	12520
24	652	12395
25	672	12267
26	694	12164
27	716	12079
28	738	11999
29	763	11958
30	786	11893
31	807	11811
32	829	11735
33	852	11680
34	874	11621
35	895	11540
36	915	11454
37	936	11385
38	957	11316
39	976	11232
40	997	11163
41	1017	11095
42	1038	11034
43	1058	10969
44	1078	10906
45	1098	10841
46	1118	10781
47	1138	10721
48	1158	10661
49	1177	10600
50	1197	10544
51	1216	10479
52	1238	10442
53	1261	10418
54	1282	10374
55	1302	10330
56	1321	10273
57	1341	10224
58	1364	10202
59	1385	10158
60	1404	10105
61	1422	10051
62	1441	10002
63	1461	9953
64	1480	9909
65	1501	9873
66	1522	9837
67	1541	9792
68	1562	9760
69	1582	9721
70	1603	9686
71	1623	9650
72	1645	9622
73	1667	9598
74	1687	9564
75	1706	9522
76	1727	9488
77	1746	9449
78	1766	9412
79	1785	9372
80	1805	9339
81	1827	9314
82	1847	9281
83	1866	9243
84	1885	9206
85	1904	9169
86	1925	9139
87	1943	9098
88	1962	9063
89	1982	9033
90	2000	8992
91	2019	8957
92	2039	8927
93	2057	8888
94	2075	8850
95	2094	8814
96	2112	8778
97	2131	8744
98	2152	8717
99	2172	8689
100	2191	8658
101	2210	8623
102	2229	8591
103	2248	8560
104	2267	8528
105	2287	8503
106	2306	8471
107	2326	8444
108	2346	8417
109	2366	8390
110	2386	8364
111	2406	8336
112	2426	8311
113	2445	8280
114	2466	8257
115	2484	8225
116	2503	8196
117	2525	8177
118	2546	8153
119	2565	8122
120	2586	8101
121	2605	8072
122	2625	8045
123	2647	8028
124	2667	8001
125	2687	7976
126	2706	7948
127	2727	7925
128	2745	7896
129	2764	7867
130	2783	7841
131	2802	7812
132	2824	7795
133	2845	7772
134	2865	7747
135	2886	7725
136	2904	7696
137	2924	7671
138	2942	7642
139	2961	7614
140	2979	7587
141	2998	7559
142	3018	7536
143	3042	7521
144	3064	7502
145	3084	7479
146	3108	7464
147	3128	7440
148	3150	7421
149	3170	7397
150	3190	7373
151	3209	7347
152	3230	7327
153	3250	7303
154	3269	7276
155	3288	7252
156	3308	7228
157	3328	7204
158	3346	7176
159	3368	7157
160	3387	7133
161	3406	7106
162	3424	7079
163	3442	7053
164	3461	7028
165	3481	7005
166	3499	6978
167	3517	6951
168	3536	6925
169	3555	6902
170	3575	6879
171	3594	6854
172	3613	6830
173	3634	6808
174	3653	6784
175	3672	6761
176	3697	6746
177	3718	6725
178	3737	6703
179	3756	6678
180	3775	6654
181	3794	6629
182	3814	6607
183	3834	6584
184	3852	6560
185	3871	6536
186	3890	6511
187	3909	6488
188	3945	6492
189	3976	6488
190	4002	6474
191	4022	6453
192	4047	6437
193	4067	6415
194	4090	6398
195	4125	6398
196	4155	6390
197	4177	6371
198	4200	6352
199	4225	6338
200	4246	6317
201	4290	6329
202	4318	6318
203	4341	6299
204	4362	6277
205	4383	6255
206	4405	6235
207	4429	6217
208	4449	6194
209	4468	6170
210	4490	6150
211	4509	6126
212	4529	6102
213	4548	6078
214	4568	6055
215	4589	6034
216	4610	6012
217	4633	5993
218	4654	5972
219	4674	5949
220	4693	5925
221	4713	5902
222	4731	5877
223	4749	5852
224	4767	5827
225	4785	5802
226	4805	5779
227	4824	5755
228	4842	5730
229	4860	5705
230	4880	5683
231	4900	5660
232	4919	5637
233	4939	5614
234	4957	5589
235	4977	5568
236	4996	5544
237	5014	5520
238	5033	5497
239	5051	5472
240	5071	5450
241	5092	5428
242	5111	5405
243	5131	5383
244	5150	5360
245	5169	5337
246	5188	5314
247	5208	5292
248	5229	5271
249	5249	5249
250	5268	5226
251	5288	5204
252	5307	5181
253	5326	5158
254	5345	5135
255	5365	5113
256	5383	5090
257	5401	5066
258	5421	5044
259	5440	5021
260	5459	4999
261	5477	4975
262	5495	4952
263	5514	4929
264	5535	4908
265	5556	4888
266	5575	4865
267	5594	4843
268	5613	4820
269	5632	4797
270	5649	4774
271	5670	4752
272	5689	4730
273	5709	4709
274	5729	4687
275	5748	4665
276	5766	4642
277	5784	4619
278	5803	4597
279	5822	4575
280	5842	4553
281	5861	4531
282	5882	4510
283	5900	4487
284	5921	4466
285	5940	4444
286	5958	4421
287	5976	4399
288	5994	4376
289	6013	4354
290	6034	4334
291	6053	4312
292	6074	4291
293	6093	4269
294	6113	4248
295	6130	4225
296	6149	4202
297	6168	4181
298	6187	4159
299	6205	4137
